,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9097744360902256,0.7758620689655172,0.8915662650602408
1,0,1,0.8260869565217391,0.8738738738738738,0.8473895582329316
2,0,2,0.9197080291970803,0.8108108108108109,0.8709677419354839
3,0,3,0.9007633587786259,0.7350427350427351,0.842741935483871
4,0,4,0.8512396694214877,0.7480314960629921,0.814516129032258
5,1,0,0.8947368421052632,0.8620689655172413,0.8795180722891566
6,1,1,0.8768115942028986,0.8018018018018018,0.8433734939759036
7,1,2,0.8905109489051095,0.8198198198198198,0.875
8,1,3,0.916030534351145,0.6752136752136753,0.8185483870967741
9,1,4,0.8677685950413223,0.7637795275590551,0.8306451612903225
10,2,0,0.8872180451127819,0.8793103448275862,0.8875502008032128
11,2,1,0.8695652173913043,0.8918918918918919,0.8795180722891566
12,2,2,0.9051094890510949,0.8018018018018018,0.875
13,2,3,0.9312977099236641,0.7264957264957265,0.8387096774193548
14,2,4,0.8842975206611571,0.7716535433070866,0.8387096774193548
15,3,0,0.9097744360902256,0.7758620689655172,0.8514056224899598
16,3,1,0.8260869565217391,0.8828828828828829,0.8634538152610441
17,3,2,0.9124087591240876,0.8378378378378378,0.8830645161290323
18,3,3,0.9007633587786259,0.717948717948718,0.8346774193548386
19,3,4,0.8760330578512396,0.7480314960629921,0.8104838709677419
20,4,0,0.9172932330827067,0.7931034482758621,0.8755020080321284
21,4,1,0.8405797101449275,0.8918918918918919,0.8634538152610441
22,4,2,0.8832116788321168,0.8018018018018018,0.8629032258064516
23,4,3,0.916030534351145,0.6666666666666666,0.8306451612903225
24,4,4,0.859504132231405,0.7244094488188977,0.8266129032258064
25,5,0,0.9097744360902256,0.7931034482758621,0.8554216867469878
26,5,1,0.8840579710144928,0.9009009009009009,0.8915662650602408
27,5,2,0.8978102189781022,0.8108108108108109,0.8588709677419355
28,5,3,0.9389312977099237,0.7435897435897436,0.8467741935483871
29,5,4,0.859504132231405,0.7952755905511811,0.8346774193548386
30,6,0,0.9022556390977443,0.75,0.8795180722891566
31,6,1,0.8623188405797102,0.8918918918918919,0.8755020080321284
32,6,2,0.9051094890510949,0.7747747747747747,0.8669354838709677
33,6,3,0.9236641221374046,0.7521367521367521,0.8588709677419355
34,6,4,0.8677685950413223,0.7716535433070866,0.8387096774193548
35,7,0,0.8947368421052632,0.8620689655172413,0.8795180722891566
36,7,1,0.8695652173913043,0.8738738738738738,0.8714859437751004
37,7,2,0.9197080291970803,0.7387387387387387,0.8669354838709677
38,7,3,0.916030534351145,0.7264957264957265,0.8306451612903225
39,7,4,0.8677685950413223,0.7952755905511811,0.8306451612903225
40,8,0,0.8796992481203008,0.7931034482758621,0.8634538152610441
41,8,1,0.8695652173913043,0.8738738738738738,0.8714859437751004
42,8,2,0.8978102189781022,0.7657657657657657,0.8669354838709677
43,8,3,0.9236641221374046,0.7692307692307693,0.8508064516129032
44,8,4,0.859504132231405,0.7874015748031497,0.8306451612903225
45,9,0,0.924812030075188,0.8189655172413793,0.8755020080321284
46,9,1,0.855072463768116,0.8648648648648649,0.8634538152610441
47,9,2,0.8905109489051095,0.7657657657657657,0.8508064516129032
48,9,3,0.916030534351145,0.7948717948717948,0.8588709677419355
49,9,4,0.859504132231405,0.84251968503937,0.8508064516129032
50,10,0,0.8721804511278195,0.7586206896551724,0.8353413654618473
51,10,1,0.8623188405797102,0.8828828828828829,0.8714859437751004
52,10,2,0.8905109489051095,0.8108108108108109,0.8629032258064516
53,10,3,0.9389312977099237,0.7435897435897436,0.8467741935483871
54,10,4,0.8760330578512396,0.8267716535433071,0.8548387096774194
55,11,0,0.8947368421052632,0.853448275862069,0.8755020080321284
56,11,1,0.855072463768116,0.8738738738738738,0.8634538152610441
57,11,2,0.8759124087591241,0.8378378378378378,0.8790322580645161
58,11,3,0.9236641221374046,0.7008547008547008,0.842741935483871
59,11,4,0.859504132231405,0.7795275590551181,0.8306451612903225
60,12,0,0.9022556390977443,0.7844827586206896,0.8674698795180722
61,12,1,0.8840579710144928,0.8738738738738738,0.8795180722891566
62,12,2,0.8832116788321168,0.8288288288288288,0.8588709677419355
63,12,3,0.916030534351145,0.7264957264957265,0.8508064516129032
64,12,4,0.8925619834710744,0.7322834645669292,0.8104838709677419
65,13,0,0.9097744360902256,0.8362068965517241,0.8755020080321284
66,13,1,0.8623188405797102,0.8288288288288288,0.8634538152610441
67,13,2,0.8832116788321168,0.7837837837837838,0.8387096774193548
68,13,3,0.9007633587786259,0.7521367521367521,0.8467741935483871
69,13,4,0.8842975206611571,0.7401574803149606,0.8225806451612903
70,14,0,0.9172932330827067,0.8448275862068966,0.8835341365461846
71,14,1,0.8695652173913043,0.8918918918918919,0.8795180722891566
72,14,2,0.8978102189781022,0.7567567567567568,0.8629032258064516
73,14,3,0.9007633587786259,0.7094017094017094,0.875
74,14,4,0.9008264462809917,0.7401574803149606,0.8185483870967741
75,15,0,0.8947368421052632,0.8275862068965517,0.8634538152610441
76,15,1,0.8985507246376812,0.8738738738738738,0.8875502008032128
77,15,2,0.9124087591240876,0.7657657657657657,0.8467741935483871
78,15,3,0.9312977099236641,0.6923076923076923,0.8266129032258064
79,15,4,0.8677685950413223,0.6929133858267716,0.8225806451612903
80,16,0,0.9022556390977443,0.7672413793103449,0.8755020080321284
81,16,1,0.8260869565217391,0.8738738738738738,0.8554216867469878
82,16,2,0.9197080291970803,0.7207207207207207,0.8508064516129032
83,16,3,0.916030534351145,0.7948717948717948,0.8588709677419355
84,16,4,0.8760330578512396,0.7637795275590551,0.8185483870967741
85,17,0,0.8872180451127819,0.853448275862069,0.8714859437751004
86,17,1,0.8840579710144928,0.8738738738738738,0.8795180722891566
87,17,2,0.8978102189781022,0.7747747747747747,0.875
88,17,3,0.9083969465648855,0.6923076923076923,0.8346774193548386
89,17,4,0.8512396694214877,0.7716535433070866,0.8387096774193548
90,18,0,0.9323308270676691,0.8448275862068966,0.8915662650602408
91,18,1,0.8115942028985508,0.9009009009009009,0.859437751004016
92,18,2,0.8978102189781022,0.7657657657657657,0.8588709677419355
93,18,3,0.9236641221374046,0.7008547008547008,0.8266129032258064
94,18,4,0.8842975206611571,0.7716535433070866,0.8306451612903225
95,19,0,0.9022556390977443,0.7758620689655172,0.8674698795180722
96,19,1,0.8695652173913043,0.8738738738738738,0.8714859437751004
97,19,2,0.8978102189781022,0.7927927927927928,0.8669354838709677
98,19,3,0.9312977099236641,0.7094017094017094,0.8508064516129032
99,19,4,0.8512396694214877,0.7716535433070866,0.8225806451612903
