,epoch,train_loss,valid_loss,accuracy,precision,recall,time
81,81,0.291835,0.651871,0.731959,0.55,0.392857,00:19
82,82,0.28426599999999996,0.816711,0.742268,0.5882350000000001,0.357143,00:20
83,83,0.29340700000000003,0.774706,0.721649,0.555556,0.178571,00:20
84,84,0.281429,0.658194,0.6907220000000001,0.44444399999999995,0.28571399999999997,00:21
85,85,0.28707,0.708054,0.7010310000000001,0.478261,0.392857,00:19
86,86,0.30699699999999996,0.739338,0.6907220000000001,0.458333,0.392857,00:20
87,87,0.289288,0.675806,0.670103,0.43333299999999997,0.464286,00:20
88,88,0.256726,0.774339,0.6907220000000001,0.454545,0.357143,00:20
89,89,0.24406799999999998,0.811675,0.670103,0.375,0.214286,00:20
90,90,0.253716,0.7538699999999999,0.639175,0.41025600000000007,0.571429,00:20
91,91,0.284386,0.809775,0.731959,0.625,0.178571,00:20
92,92,0.27723200000000003,0.9658040000000001,0.721649,0.6,0.107143,00:19
93,93,0.265924,0.8525469999999999,0.752577,0.7,0.25,00:20
94,94,0.260202,0.797855,0.680412,0.434783,0.357143,00:21
95,95,0.251857,0.7861090000000001,0.597938,0.322581,0.357143,00:20
96,96,0.245644,0.882338,0.556701,0.307692,0.428571,00:20
97,97,0.22899699999999998,0.805288,0.618557,0.32,0.28571399999999997,00:20
98,98,0.21826900000000002,0.892249,0.7010310000000001,0.470588,0.28571399999999997,00:20
99,99,0.222079,0.8965629999999999,0.7010310000000001,0.454545,0.178571,00:19
100,100,0.207402,0.855317,0.670103,0.409091,0.321429,00:20
101,101,0.198357,0.9650790000000001,0.7010310000000001,0.461538,0.214286,00:20
102,102,0.193838,0.8356610000000001,0.680412,0.44444399999999995,0.428571,00:20
103,103,0.207552,1.048471,0.71134,0.5,0.25,00:19
104,104,0.202999,0.8888809999999999,0.7010310000000001,0.461538,0.214286,00:20
105,105,0.17839100000000002,0.7270310000000001,0.680412,0.44444399999999995,0.428571,00:20
106,106,0.19241,0.9890190000000001,0.670103,0.428571,0.428571,00:20
107,107,0.192333,0.8352149999999999,0.7010310000000001,0.473684,0.321429,00:20
108,108,0.17444500000000002,0.919133,0.731959,0.583333,0.25,00:20
109,109,0.176922,0.873144,0.680412,0.434783,0.357143,00:20
110,110,0.177777,0.9534540000000001,0.7010310000000001,0.48,0.428571,00:20
111,111,0.17972,0.8862110000000001,0.628866,0.366667,0.392857,00:20
112,112,0.16535899999999998,1.02253,0.6907220000000001,0.44444399999999995,0.28571399999999997,00:21
113,113,0.168631,1.282414,0.7010310000000001,0.44444399999999995,0.14285699999999998,00:20
114,114,0.191707,0.775995,0.7010310000000001,0.48,0.428571,00:20
115,115,0.202488,0.9892620000000001,0.7010310000000001,0.466667,0.25,00:20
116,116,0.18923199999999998,1.082511,0.7010310000000001,0.461538,0.214286,00:20
117,117,0.183426,0.8106899999999999,0.6907220000000001,0.454545,0.357143,00:20
118,118,0.17657899999999999,0.8956129999999999,0.670103,0.388889,0.25,00:20
119,119,0.171007,1.011808,0.6907220000000001,0.4375,0.25,00:20
120,120,0.151636,0.810947,0.742268,0.5882350000000001,0.357143,00:20
121,121,0.151844,0.9464959999999999,0.71134,0.5,0.357143,00:19
122,122,0.145454,1.120428,0.7010310000000001,0.454545,0.178571,00:20
123,123,0.13467,0.869084,0.6907220000000001,0.454545,0.357143,00:20
124,124,0.137471,0.860023,0.6907220000000001,0.45,0.321429,00:20
125,125,0.129717,0.959831,0.670103,0.416667,0.357143,00:20
126,126,0.128573,1.0210290000000002,0.6907220000000001,0.44444399999999995,0.28571399999999997,00:21
127,127,0.135389,0.938981,0.670103,0.416667,0.357143,00:20
128,128,0.13061199999999998,1.0491059999999999,0.670103,0.375,0.214286,00:20
129,129,0.149647,1.0150549999999998,0.6907220000000001,0.45,0.321429,00:20
