,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9714285714285714,0.8928571428571429,0.9523809523809523
1,0,1,0.95,0.9545454545454546,0.9516129032258064
2,0,2,0.9642857142857143,0.9411764705882353,0.9516129032258064
3,0,3,0.9354838709677419,0.967741935483871,0.9516129032258064
4,0,4,1.0,0.9032258064516129,0.9838709677419355
5,1,0,0.9142857142857143,0.8928571428571429,0.9365079365079365
6,1,1,0.95,1.0,0.9838709677419355
7,1,2,1.0,0.9117647058823529,0.967741935483871
8,1,3,0.8709677419354839,0.9354838709677419,0.9032258064516129
9,1,4,1.0,0.8709677419354839,0.967741935483871
10,2,0,0.9428571428571428,0.9285714285714286,0.9365079365079365
11,2,1,0.95,1.0,0.967741935483871
12,2,2,1.0,0.9411764705882353,0.967741935483871
13,2,3,0.9032258064516129,0.9354838709677419,0.9516129032258064
14,2,4,1.0,0.8387096774193549,0.9838709677419355
15,3,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
16,3,1,0.95,1.0,0.967741935483871
17,3,2,1.0,0.9705882352941176,0.9838709677419355
18,3,3,0.9032258064516129,0.9354838709677419,0.9193548387096774
19,3,4,1.0,0.8709677419354839,0.967741935483871
20,4,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
21,4,1,0.925,1.0,0.9516129032258064
22,4,2,0.9642857142857143,0.9411764705882353,0.967741935483871
23,4,3,0.8709677419354839,0.9354838709677419,0.9032258064516129
24,4,4,0.9354838709677419,0.8709677419354839,0.9354838709677419
25,5,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
26,5,1,0.925,0.9545454545454546,0.9354838709677419
27,5,2,0.9642857142857143,0.9705882352941176,0.967741935483871
28,5,3,0.9354838709677419,0.9354838709677419,0.9354838709677419
29,5,4,0.967741935483871,0.9354838709677419,0.9516129032258064
30,6,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
31,6,1,0.925,1.0,0.9516129032258064
32,6,2,1.0,0.9705882352941176,0.9838709677419355
33,6,3,0.9354838709677419,0.9354838709677419,0.9354838709677419
34,6,4,1.0,0.8709677419354839,0.967741935483871
35,7,0,0.9428571428571428,0.9285714285714286,0.9365079365079365
36,7,1,0.95,1.0,0.967741935483871
37,7,2,1.0,0.9705882352941176,0.9838709677419355
38,7,3,0.8709677419354839,0.9354838709677419,0.9193548387096774
39,7,4,0.967741935483871,0.9032258064516129,0.967741935483871
40,8,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
41,8,1,0.975,0.9545454545454546,0.967741935483871
42,8,2,1.0,0.9411764705882353,0.967741935483871
43,8,3,0.8709677419354839,0.9354838709677419,0.9032258064516129
44,8,4,0.967741935483871,0.9354838709677419,0.967741935483871
45,9,0,0.9714285714285714,0.8928571428571429,0.9523809523809523
46,9,1,1.0,0.9545454545454546,0.9838709677419355
47,9,2,0.9285714285714286,0.9117647058823529,0.9516129032258064
48,9,3,0.9032258064516129,0.9354838709677419,0.9193548387096774
49,9,4,1.0,0.8709677419354839,0.9838709677419355
50,10,0,0.9428571428571428,0.9285714285714286,0.9365079365079365
51,10,1,0.975,0.9545454545454546,0.967741935483871
52,10,2,1.0,0.9705882352941176,0.9838709677419355
53,10,3,0.9032258064516129,0.9354838709677419,0.9193548387096774
54,10,4,0.967741935483871,0.9032258064516129,0.967741935483871
55,11,0,0.9142857142857143,0.9285714285714286,0.9365079365079365
56,11,1,0.925,1.0,0.967741935483871
57,11,2,0.9642857142857143,0.9411764705882353,0.967741935483871
58,11,3,0.9032258064516129,0.967741935483871,0.9516129032258064
59,11,4,0.9354838709677419,0.8709677419354839,0.967741935483871
60,12,0,0.9428571428571428,0.9285714285714286,0.9523809523809523
61,12,1,0.925,1.0,0.9516129032258064
62,12,2,0.9642857142857143,0.9411764705882353,0.967741935483871
63,12,3,0.9354838709677419,0.9354838709677419,0.9354838709677419
64,12,4,1.0,0.8709677419354839,0.967741935483871
65,13,0,0.9428571428571428,0.9285714285714286,0.9365079365079365
66,13,1,0.95,0.9545454545454546,0.9516129032258064
67,13,2,1.0,0.9411764705882353,0.967741935483871
68,13,3,0.8709677419354839,0.9354838709677419,0.9032258064516129
69,13,4,0.9354838709677419,0.9032258064516129,0.967741935483871
70,14,0,0.9714285714285714,0.9285714285714286,0.9523809523809523
71,14,1,0.925,0.9545454545454546,0.9354838709677419
72,14,2,0.9642857142857143,0.9411764705882353,0.9516129032258064
73,14,3,0.8709677419354839,0.9354838709677419,0.9354838709677419
74,14,4,1.0,0.9032258064516129,0.9838709677419355
