,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9701492537313433,0.9137931034482759,0.9440000000000001
1,0,1,1.0,0.9387755102040817,0.9758064516129032
2,0,2,0.9166666666666666,0.96875,0.9435483870967741
3,0,3,0.9402985074626866,0.9298245614035088,0.9354838709677419
4,0,4,1.0,0.9841269841269841,0.9919354838709677
5,1,0,1.0,0.8793103448275862,0.9440000000000001
6,1,1,0.9866666666666667,0.9795918367346939,0.9838709677419355
7,1,2,0.9166666666666666,0.984375,0.9596774193548386
8,1,3,0.9402985074626866,0.9824561403508771,0.9596774193548386
9,1,4,1.0,1.0,1.0
10,2,0,0.9701492537313433,0.9655172413793104,0.968
11,2,1,1.0,0.9591836734693877,0.9838709677419355
12,2,2,0.9166666666666666,0.96875,0.967741935483871
13,2,3,0.9253731343283582,1.0,0.9596774193548386
14,2,4,0.9672131147540983,1.0,0.9838709677419355
15,3,0,0.9701492537313433,0.9137931034482759,0.968
16,3,1,0.9866666666666667,0.9591836734693877,0.9758064516129032
17,3,2,0.9166666666666666,0.984375,0.9596774193548386
18,3,3,0.9402985074626866,0.9824561403508771,0.9596774193548386
19,3,4,0.9836065573770492,1.0,0.9919354838709677
20,4,0,0.9552238805970149,0.9482758620689655,0.9520000000000001
21,4,1,0.9733333333333334,0.9387755102040817,0.967741935483871
22,4,2,0.9333333333333333,0.984375,0.9596774193548386
23,4,3,0.9552238805970149,0.9824561403508771,0.967741935483871
24,4,4,0.9672131147540983,0.9682539682539683,0.9758064516129032
25,5,0,0.9850746268656716,0.9137931034482759,0.9520000000000001
26,5,1,0.9866666666666667,0.9591836734693877,0.9758064516129032
27,5,2,0.9333333333333333,1.0,0.967741935483871
28,5,3,0.9104477611940298,1.0,0.9516129032258064
29,5,4,1.0,1.0,1.0
30,6,0,0.9701492537313433,0.9137931034482759,0.9440000000000001
31,6,1,1.0,0.9591836734693877,0.9838709677419355
32,6,2,0.95,0.9375,0.9758064516129032
33,6,3,0.9552238805970149,0.9473684210526315,0.9596774193548386
34,6,4,0.9836065573770492,1.0,0.9919354838709677
35,7,0,0.9701492537313433,0.9655172413793104,0.968
36,7,1,0.9733333333333334,0.9387755102040817,0.967741935483871
37,7,2,0.9166666666666666,0.96875,0.9596774193548386
38,7,3,0.9402985074626866,0.9649122807017544,0.9516129032258064
39,7,4,1.0,1.0,1.0
40,8,0,0.9552238805970149,0.9310344827586207,0.9440000000000001
41,8,1,1.0,0.9795918367346939,0.9919354838709677
42,8,2,0.95,0.953125,0.9838709677419355
43,8,3,0.9402985074626866,0.9824561403508771,0.9596774193548386
44,8,4,1.0,1.0,1.0
45,9,0,0.9701492537313433,0.9482758620689655,0.968
46,9,1,1.0,0.9387755102040817,0.9758064516129032
47,9,2,0.9333333333333333,0.921875,0.9354838709677419
48,9,3,0.9104477611940298,0.9649122807017544,0.9435483870967741
49,9,4,0.9672131147540983,0.9841269841269841,0.9758064516129032
50,10,0,0.9701492537313433,0.9482758620689655,0.96
51,10,1,0.9733333333333334,0.9387755102040817,0.967741935483871
52,10,2,0.9166666666666666,0.984375,0.9516129032258064
53,10,3,0.9253731343283582,0.9649122807017544,0.9435483870967741
54,10,4,0.9672131147540983,1.0,0.9838709677419355
55,11,0,0.9701492537313433,0.9137931034482759,0.96
56,11,1,1.0,0.9795918367346939,0.9919354838709677
57,11,2,0.95,0.9375,0.967741935483871
58,11,3,0.9552238805970149,0.9298245614035088,0.9516129032258064
59,11,4,1.0,0.9841269841269841,0.9919354838709677
60,12,0,0.9701492537313433,0.9310344827586207,0.9520000000000001
61,12,1,0.9866666666666667,0.9591836734693877,0.9758064516129032
62,12,2,0.9166666666666666,0.96875,0.9596774193548386
63,12,3,0.9253731343283582,0.9824561403508771,0.9516129032258064
64,12,4,0.9672131147540983,1.0,0.9838709677419355
65,13,0,0.9701492537313433,0.9310344827586207,0.9520000000000001
66,13,1,0.9866666666666667,0.9591836734693877,0.9758064516129032
67,13,2,0.9333333333333333,0.96875,0.9596774193548386
68,13,3,0.9402985074626866,0.9824561403508771,0.9596774193548386
69,13,4,1.0,1.0,1.0
70,14,0,0.9701492537313433,0.9310344827586207,0.9520000000000001
71,14,1,1.0,0.9795918367346939,0.9919354838709677
72,14,2,0.9166666666666666,0.96875,0.9596774193548386
73,14,3,0.9701492537313433,0.9649122807017544,0.967741935483871
74,14,4,1.0,1.0,1.0
75,15,0,0.9701492537313433,0.9137931034482759,0.9520000000000001
76,15,1,0.9866666666666667,0.9183673469387755,0.9596774193548386
77,15,2,0.9166666666666666,0.984375,0.9516129032258064
78,15,3,0.9701492537313433,0.9473684210526315,0.967741935483871
79,15,4,0.9672131147540983,0.9841269841269841,0.9758064516129032
80,16,0,1.0,0.9310344827586207,0.968
81,16,1,1.0,0.9795918367346939,0.9919354838709677
82,16,2,0.9166666666666666,0.953125,0.9596774193548386
83,16,3,0.9253731343283582,0.9473684210526315,0.9596774193548386
84,16,4,1.0,1.0,1.0
85,17,0,0.9701492537313433,0.9310344827586207,0.976
86,17,1,1.0,0.9795918367346939,0.9919354838709677
87,17,2,0.9166666666666666,0.96875,0.9758064516129032
88,17,3,0.9552238805970149,0.9824561403508771,0.967741935483871
89,17,4,1.0,1.0,1.0
90,18,0,0.9552238805970149,0.9482758620689655,0.9520000000000001
91,18,1,1.0,0.9387755102040817,0.9838709677419355
92,18,2,0.9333333333333333,0.984375,0.9596774193548386
93,18,3,0.9552238805970149,0.9473684210526315,0.9516129032258064
94,18,4,1.0,0.9841269841269841,0.9919354838709677
95,19,0,0.9850746268656716,0.896551724137931,0.9520000000000001
96,19,1,1.0,0.9387755102040817,0.9758064516129032
97,19,2,0.95,0.953125,0.9516129032258064
98,19,3,0.9253731343283582,0.9824561403508771,0.9516129032258064
99,19,4,1.0,1.0,1.0
