,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9169811320754717,0.8879310344827587,0.9054325955734407
1,0,1,0.8827838827838828,0.8526785714285714,0.8712273641851107
2,0,2,0.8588235294117647,0.8347107438016529,0.8732394366197184
3,0,3,0.9277566539923955,0.8418803418803419,0.903420523138833
4,0,4,0.8825757575757576,0.8318965517241379,0.8588709677419355
5,1,0,0.8981132075471698,0.8879310344827587,0.9014084507042255
6,1,1,0.8717948717948718,0.8571428571428571,0.8672032193158954
7,1,2,0.8627450980392157,0.8760330578512396,0.869215291750503
8,1,3,0.9391634980988594,0.8162393162393162,0.8953722334004025
9,1,4,0.875,0.8620689655172413,0.875
10,2,0,0.8943396226415095,0.9181034482758621,0.9054325955734407
11,2,1,0.8901098901098901,0.8794642857142857,0.8853118712273642
12,2,2,0.8431372549019608,0.859504132231405,0.8732394366197184
13,2,3,0.9429657794676806,0.8162393162393162,0.8893360160965795
14,2,4,0.8712121212121212,0.8706896551724138,0.8709677419354839
15,3,0,0.8981132075471698,0.9094827586206896,0.909456740442656
16,3,1,0.8791208791208791,0.8973214285714286,0.8873239436619719
17,3,2,0.8431372549019608,0.8636363636363636,0.8732394366197184
18,3,3,0.9277566539923955,0.8290598290598291,0.8832997987927567
19,3,4,0.875,0.8491379310344828,0.8629032258064516
20,4,0,0.8867924528301887,0.9224137931034483,0.903420523138833
21,4,1,0.8754578754578755,0.84375,0.8853118712273642
22,4,2,0.8392156862745098,0.8760330578512396,0.8611670020120725
23,4,3,0.9315589353612167,0.8205128205128205,0.8933601609657948
24,4,4,0.8636363636363636,0.8491379310344828,0.8669354838709677
25,5,0,0.909433962264151,0.8922413793103449,0.9014084507042255
26,5,1,0.8681318681318682,0.8660714285714286,0.8712273641851107
27,5,2,0.8470588235294118,0.8388429752066116,0.8651911468812878
28,5,3,0.9315589353612167,0.8461538461538461,0.8993963782696178
29,5,4,0.8636363636363636,0.8448275862068966,0.8669354838709677
30,6,0,0.909433962264151,0.8793103448275862,0.9074446680080483
31,6,1,0.8827838827838828,0.84375,0.8732394366197184
32,6,2,0.8274509803921568,0.8801652892561983,0.8772635814889337
33,6,3,0.9239543726235742,0.8376068376068376,0.8832997987927567
34,6,4,0.8712121212121212,0.8318965517241379,0.8709677419354839
35,7,0,0.8943396226415095,0.8922413793103449,0.9074446680080483
36,7,1,0.8864468864468864,0.8705357142857143,0.8792756539235413
37,7,2,0.8784313725490196,0.8305785123966942,0.8651911468812878
38,7,3,0.9391634980988594,0.7777777777777778,0.8933601609657948
39,7,4,0.8712121212121212,0.8620689655172413,0.8669354838709677
40,8,0,0.909433962264151,0.8836206896551724,0.8973843058350102
41,8,1,0.8681318681318682,0.8794642857142857,0.8832997987927567
42,8,2,0.8784313725490196,0.8140495867768595,0.869215291750503
43,8,3,0.9277566539923955,0.8290598290598291,0.8873239436619719
44,8,4,0.8636363636363636,0.8793103448275862,0.8709677419354839
45,9,0,0.8754716981132076,0.9181034482758621,0.9054325955734407
46,9,1,0.8681318681318682,0.875,0.881287726358149
47,9,2,0.8823529411764706,0.8388429752066116,0.8631790744466802
48,9,3,0.9391634980988594,0.811965811965812,0.8933601609657948
49,9,4,0.8560606060606061,0.8879310344827587,0.8709677419354839
50,10,0,0.9056603773584906,0.875,0.9054325955734407
51,10,1,0.8717948717948718,0.875,0.8732394366197184
52,10,2,0.8588235294117647,0.8347107438016529,0.8571428571428572
53,10,3,0.9391634980988594,0.8162393162393162,0.8953722334004025
54,10,4,0.8787878787878788,0.8318965517241379,0.8709677419354839
55,11,0,0.9018867924528302,0.9094827586206896,0.9114688128772637
56,11,1,0.8608058608058609,0.8705357142857143,0.8651911468812878
57,11,2,0.8313725490196079,0.8429752066115702,0.8591549295774649
58,11,3,0.9429657794676806,0.8076923076923077,0.8792756539235413
59,11,4,0.8484848484848485,0.875,0.8669354838709677
60,12,0,0.9132075471698113,0.8922413793103449,0.903420523138833
61,12,1,0.8717948717948718,0.8883928571428571,0.8873239436619719
62,12,2,0.8509803921568627,0.8636363636363636,0.8631790744466802
63,12,3,0.9239543726235742,0.811965811965812,0.8732394366197184
64,12,4,0.8560606060606061,0.8922413793103449,0.8729838709677419
65,13,0,0.9169811320754717,0.8836206896551724,0.9014084507042255
66,13,1,0.8937728937728938,0.8348214285714286,0.8893360160965795
67,13,2,0.8784313725490196,0.8099173553719008,0.869215291750503
68,13,3,0.935361216730038,0.811965811965812,0.8853118712273642
69,13,4,0.8825757575757576,0.8405172413793104,0.8669354838709677
70,14,0,0.9283018867924528,0.8577586206896551,0.9074446680080483
71,14,1,0.8717948717948718,0.8705357142857143,0.875251509054326
72,14,2,0.8392156862745098,0.8553719008264463,0.869215291750503
73,14,3,0.9277566539923955,0.8290598290598291,0.8913480885311872
74,14,4,0.8636363636363636,0.8620689655172413,0.8629032258064516
75,15,0,0.909433962264151,0.9094827586206896,0.909456740442656
76,15,1,0.8754578754578755,0.8526785714285714,0.8672032193158954
77,15,2,0.8509803921568627,0.8388429752066116,0.8571428571428572
78,15,3,0.9201520912547528,0.8547008547008547,0.8933601609657948
79,15,4,0.8598484848484849,0.8405172413793104,0.8629032258064516
80,16,0,0.9169811320754717,0.875,0.9054325955734407
81,16,1,0.8608058608058609,0.8794642857142857,0.869215291750503
82,16,2,0.8352941176470589,0.9008264462809917,0.8672032193158954
83,16,3,0.935361216730038,0.782051282051282,0.8973843058350102
84,16,4,0.8901515151515151,0.8405172413793104,0.8669354838709677
85,17,0,0.9018867924528302,0.8879310344827587,0.8973843058350102
86,17,1,0.8644688644688645,0.8616071428571429,0.881287726358149
87,17,2,0.8549019607843137,0.8388429752066116,0.8611670020120725
88,17,3,0.935361216730038,0.7991452991452992,0.8953722334004025
89,17,4,0.8787878787878788,0.8232758620689655,0.8729838709677419
90,18,0,0.9056603773584906,0.8879310344827587,0.909456740442656
91,18,1,0.8827838827838828,0.8303571428571429,0.8853118712273642
92,18,2,0.8392156862745098,0.8801652892561983,0.8631790744466802
93,18,3,0.935361216730038,0.8076923076923077,0.8772635814889337
94,18,4,0.8598484848484849,0.8577586206896551,0.8649193548387096
95,19,0,0.909433962264151,0.9051724137931034,0.9074446680080483
96,19,1,0.8901098901098901,0.8616071428571429,0.8893360160965795
97,19,2,0.8549019607843137,0.7975206611570248,0.8571428571428572
98,19,3,0.9315589353612167,0.8205128205128205,0.8853118712273642
99,19,4,0.8787878787878788,0.8491379310344828,0.8729838709677419
