,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.8981132075471698,0.8663793103448276,0.8953722334004025
1,0,1,0.8901098901098901,0.8214285714285714,0.8712273641851107
2,0,2,0.8392156862745098,0.8553719008264463,0.8611670020120725
3,0,3,0.9049429657794676,0.8717948717948718,0.8913480885311872
4,0,4,0.8901515151515151,0.8318965517241379,0.8629032258064516
5,1,0,0.909433962264151,0.8448275862068966,0.8893360160965795
6,1,1,0.8351648351648352,0.8392857142857143,0.8631790744466802
7,1,2,0.8745098039215686,0.7768595041322314,0.847082494969819
8,1,3,0.9315589353612167,0.811965811965812,0.8933601609657948
9,1,4,0.8825757575757576,0.853448275862069,0.8689516129032258
10,2,0,0.8943396226415095,0.853448275862069,0.8913480885311872
11,2,1,0.8901098901098901,0.875,0.8832997987927567
12,2,2,0.8588235294117647,0.8016528925619835,0.8490945674044267
13,2,3,0.9277566539923955,0.7991452991452992,0.8792756539235413
14,2,4,0.8825757575757576,0.8146551724137931,0.8669354838709677
15,3,0,0.909433962264151,0.8620689655172413,0.8873239436619719
16,3,1,0.8644688644688645,0.8660714285714286,0.8651911468812878
17,3,2,0.8588235294117647,0.8305785123966942,0.8631790744466802
18,3,3,0.935361216730038,0.7991452991452992,0.8873239436619719
19,3,4,0.8409090909090909,0.8620689655172413,0.8568548387096774
20,4,0,0.9056603773584906,0.8879310344827587,0.8973843058350102
21,4,1,0.8608058608058609,0.84375,0.8531187122736419
22,4,2,0.8392156862745098,0.8223140495867769,0.847082494969819
23,4,3,0.9239543726235742,0.782051282051282,0.8953722334004025
24,4,4,0.8787878787878788,0.8362068965517241,0.8669354838709677
25,5,0,0.9018867924528302,0.8879310344827587,0.8953722334004025
26,5,1,0.8498168498168498,0.8616071428571429,0.8591549295774649
27,5,2,0.8156862745098039,0.8760330578512396,0.847082494969819
28,5,3,0.9277566539923955,0.8290598290598291,0.8973843058350102
29,5,4,0.8787878787878788,0.8232758620689655,0.8528225806451613
30,6,0,0.9132075471698113,0.8448275862068966,0.8873239436619719
31,6,1,0.8644688644688645,0.8482142857142857,0.8571428571428572
32,6,2,0.8705882352941177,0.7892561983471075,0.8329979879275654
33,6,3,0.9391634980988594,0.7948717948717948,0.8772635814889337
34,6,4,0.875,0.8405172413793104,0.8588709677419355
35,7,0,0.9056603773584906,0.8706896551724138,0.903420523138833
36,7,1,0.8901098901098901,0.8571428571428571,0.875251509054326
37,7,2,0.8705882352941177,0.8099173553719008,0.8631790744466802
